City,2023,2024,2025
Adana,3.318457479998025,3.2780612507254148,3.2517096061213775
Adıyaman,3.6555742063540686,3.5975779684836886,3.58942870182135
Afyonkarahisar,3.180856717453653,3.146688814092757,3.121008963466624
Ağrı,4.313437686658937,4.2690257467261326,4.234780976555866
Amasya,2.8851410447827126,2.837167059645446,2.793709814857851
Ankara,2.91954218091997,2.8930800441280864,2.8636177446236344
Antalya,2.938142238362362,2.9221768841256575,2.898380278241756
Artvin,2.792833489003991,2.6781159468549167,2.637280969761028
Aydın,2.7579937365385696,2.739600617122231,2.7184858455098824
Balıkesir,2.6114681302920815,2.598510594284701,2.57893760254852
Bilecik,2.8419231374193887,2.8274384268635266,2.801163391933816
Bingöl,3.4032716664820355,3.323429181270238,3.2850746807563156
Bitlis,4.049989546795512,3.9902777777777776,3.9446609420667467
Bolu,2.828864925165009,2.801437680517491,2.774297181445044
Burdur,2.6655368735792253,2.651404529142433,2.642488063989418
Bursa,3.1171313550348443,3.093663615641165,3.0634662616153023
Çanakkale,2.5446160506724644,2.5299437664792217,2.5132135452660678
Çankırı,2.81365318947459,2.712681335660534,2.690447212001132
Çorum,2.8186808370768053,2.74943130676704,2.713760892937217
Denizli,2.8385950740215633,2.8222248982574447,2.796156180895807
Diyarbakır,4.169452907172034,4.113732174933099,4.088244349463923
Edirne,2.6241768173149125,2.6162657959010303,2.6047450616186167
Elazığ,3.131735947628108,3.053097669547002,3.0135629664854138
Erzincan,2.863670124215649,2.794515525437443,2.7341692090185283
Erzurum,3.4761361041333636,3.409241051781422,3.3553684937154253
Eskişehir,2.615996201273167,2.594109066789541,2.5568298036151362
Gaziantep,3.7746154628633226,3.7283868255275383,3.669158127181512
Giresun,2.59727201189123,2.529904720158723,2.4975864934710095
Gümüşhane,2.930471441717135,2.7577724848765888,2.674172794117647
Hakkari,4.445750131038331,4.35926270960873,4.313695209305382
Hatay,3.312340195299887,3.296215802958035,3.323719466519721
Isparta,2.746273497398908,2.7312807929738465,2.7057106484755744
Mersin,3.113705689500389,3.080963495197081,3.0530379197322364
İstanbul,3.1521240535510673,3.130008552801346,3.0912271219472123
İzmir,2.7904717023472916,2.771418632609647,2.7485208462468305
Kars,3.581392489789228,3.5363410243372866,3.4852792156218335
Kastamonu,2.740011891042815,2.66947691408533,2.6275975763184913
Kayseri,3.1908243370300307,3.152200895627676,3.10763888128129
Kırklareli,2.687891362872399,2.6706118043645395,2.6482685011221663
Kırşehir,2.9360278675536664,2.8666349309748704,2.8068954414296154
Kocaeli,3.215544633493512,3.1952913974378485,3.1636386816153585
Konya,3.2463237736524837,3.2134596528686648,3.174110837721747
Kütahya,2.775871343604734,2.744306129990837,2.7137692242118514
Malatya,3.126467270343608,3.078802973440495,3.0892191418694503
Manisa,2.938504290968533,2.9266470390480945,2.9054573684785114
Kahramanmaraş,3.387799127848745,3.363595340920792,3.355873058663192
Mardin,4.3576935529564125,4.30438781852082,4.2497581370475705
Muğla,2.7212432503621757,2.7157259220270262,2.704317910158046
Muş,4.338953268533553,4.204757606446216,4.113090005318052
Nevşehir,3.0107199221813055,2.9783943642598176,2.9393075003131957
Niğde,3.103797295217904,3.04162490869868,3.00581127588488
Ordu,2.7718328816457194,2.715255555115602,2.68149407224485
Rize,2.967359128409031,2.8747742168550343,2.8119758766580594
Sakarya,3.195892960393177,3.1756459470773177,3.140880521403376
Samsun,3.042021621252941,2.986083073278564,2.941326062849808
Siirt,4.473785192341711,4.356242484834565,4.294854801783347
Sinop,2.672588092345079,2.607761941448382,2.56604087848288
Sivas,3.128700848499506,3.0503206337231235,3.0049663425579656
Tekirdağ,3.0450874723722166,3.0282642580861863,2.993208932395228
Tokat,3.0475250917738443,2.9973490099260354,2.935149753295166
Trabzon,2.9167653076136197,2.865564565312316,2.827481779878153
Tunceli,2.6297234948175587,2.5515314905641993,2.4941233295765577
Şanlıurfa,4.671085076182186,4.63413097972363,4.632831454408503
Uşak,2.8141801518194294,2.780309043967477,2.749306176747173
Van,4.273060108865301,4.222919955472638,4.175991606589752
Yozgat,2.9368586234581415,2.8732931390203182,2.831853368122126
Zonguldak,2.76732091849804,2.739295123575337,2.7069194975297766
Aksaray,3.304562681421645,3.2453394530502964,3.1964527900372404
Bayburt,3.242010075150714,3.0713882845862543,2.9842165489484276
Karaman,2.9545105905953153,2.9233810417644297,2.884540140070614
Kırıkkale,2.8524221398472895,2.788337659335232,2.753095025072304
Batman,4.606474239105918,4.504970291293689,4.429250908094031
Şırnak,4.858941633820094,4.846940686506202,4.844663194137901
Bartın,2.795190102765903,2.7721420925122544,2.7312083003897745
Ardahan,3.070442036761397,3.0221362337028514,2.9637980752527535
Iğdır,3.796875,3.745934563038646,3.7103224435385713
Yalova,2.927384652163519,2.9028775920388252,2.8697130344589143
Karabük,2.669447151891561,2.614754467807,2.574326130541323
Kilis,3.316890712488382,3.2877750939345143,3.2558263772954925
Osmaniye,3.274083569550015,3.2436709798644987,3.224084828251005
Düzce,3.0981839889405554,3.0638057594579333,3.0240232512374927
"Kaynak: Tüi̇k, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları (Adnks), 2008-2025",,,
"Source: Turkstat, The Results Of Address Based Population Registration System (Abprs), 2008-2025",,,
